class_1,class_2,balanced_accuracy,f1_score,auc
isolate_06,isolate_12,0.98375,0.9837488939090917,0.99688325
isolate_06,isolate_16,0.95575,0.955749975109361,0.99157925
isolate_06,isolate_20,0.9695,0.969495607367461,0.9933612500000001
isolate_06,isolate_23,0.987,0.9869993629687854,0.99776825
isolate_06,isolate_32,0.9882500000000001,0.9882487653859133,0.9973830000000001
isolate_06,isolate_43,0.8300000000000001,0.8298893855729688,0.90878375
isolate_06,isolate_54,0.9590000000000001,0.9589962994160224,0.99279225
isolate_06,isolate_56,0.9855,0.9854982452876798,0.99680525
isolate_06,isolate_62,0.91825,0.9181595202345894,0.9732974999999999
isolate_12,isolate_16,0.99125,0.991249973203043,0.9989124999999999
isolate_12,isolate_20,0.98475,0.9847488323324756,0.99771125
isolate_12,isolate_23,0.85175,0.8517432450516027,0.9335982500000001
isolate_12,isolate_32,0.9185,0.9184996739986959,0.9770080000000001
isolate_12,isolate_43,0.95075,0.9507335912067213,0.984124
isolate_12,isolate_54,0.9885,0.9884995859850955,0.9987185000000001
isolate_12,isolate_56,0.7905,0.7904672605094547,0.8796815
isolate_12,isolate_62,0.94475,0.9447058718298372,0.9834667500000001
isolate_16,isolate_20,0.93775,0.9377499027342231,0.9860455000000001
isolate_16,isolate_23,0.9884999999999999,0.9884998591232743,0.999454
isolate_16,isolate_32,0.998,0.9979999954999899,0.99999175
isolate_16,isolate_43,0.94075,0.9407268797785436,0.985301
isolate_16,isolate_54,0.92675,0.926737137788753,0.9827555
isolate_16,isolate_56,0.996,0.9959999749998437,0.999862
isolate_16,isolate_62,0.8839999999999999,0.8839997389994128,0.9527252500000001
isolate_20,isolate_23,0.9802500000000001,0.9802488136943726,0.99681625
isolate_20,isolate_32,0.9925,0.9924999324993925,0.99858775
isolate_20,isolate_43,0.9212499999999999,0.9212223047165019,0.9737627500000001
isolate_20,isolate_54,0.91025,0.9102217142288392,0.966807
isolate_20,isolate_56,0.98675,0.9867490981104902,0.997519
isolate_20,isolate_62,0.9305,0.9304810734722528,0.9756165
isolate_23,isolate_32,0.8422499999999999,0.8421884436297934,0.93046925
isolate_23,isolate_43,0.96375,0.9637494902272064,0.99174625
isolate_23,isolate_54,0.98575,0.9857496072235491,0.9985890000000002
isolate_23,isolate_56,0.86375,0.8635343757846382,0.9447375
isolate_23,isolate_62,0.95275,0.9527471618764102,0.9890334999999999
isolate_32,isolate_43,0.98525,0.9852493279225034,0.995986
isolate_32,isolate_54,0.99275,0.9927499632966892,0.9997422499999999
isolate_32,isolate_56,0.8915,0.8914891489148915,0.9605637499999999
isolate_32,isolate_62,0.9805,0.9804971915955898,0.9963575
isolate_43,isolate_54,0.94325,0.943247783116528,0.9867935000000001
isolate_43,isolate_56,0.9665,0.9664972862801887,0.9914525000000001
isolate_43,isolate_62,0.8245,0.8244111081234875,0.91483925
isolate_54,isolate_56,0.9835,0.9834999339997359,0.9980422499999999
isolate_54,isolate_62,0.9405,0.9404999404999405,0.98558025
isolate_56,isolate_62,0.9684999999999999,0.9684892154339823,0.99243875
