class_1,class_2,pair_balanced_accuracy,pair_f1,pair_auc,balanced_accuracy_Isolate_A,balanced_accuracy_Isolate_B,AUC_Isolate_A,AUC_Isolate_B,F1_Isolate_A,F1_Isolate_B
06,12,0.9601999999999999,0.9601978204326469,0.9933348,0.9601999999999999,0.9601999999999999,0.9933348,0.9933348,0.9604923565614453,0.9599032843038485
06,16,0.972,0.9719999955199993,0.9961400800000001,0.972,0.972,0.9961400800000001,0.9961400800000001,0.9720111955217913,0.9719887955182073
06,20,0.9154,0.9153755435320807,0.97245476,0.9154,0.9154,0.97245476,0.9724547600000001,0.9139369277721261,0.9168141592920354
06,23,0.9711000000000001,0.9710953379670607,0.9938157599999999,0.9711000000000001,0.9711000000000001,0.9938157599999999,0.99381576,0.9707282487592424,0.9714624271748791
06,32,0.9861,0.9860986375274641,0.99811904,0.9861,0.9861,0.99811904,0.99811904,0.985961014038986,0.9862362610159422
06,43,0.9246,0.9245912043180717,0.97629304,0.9246,0.9246,0.97629304,0.97629304,0.9237767893247069,0.9254056193114365
06,56,0.9853,0.9852998587316424,0.9985698000000001,0.9853,0.9853,0.9985698000000001,0.9985698000000001,0.9852542882937105,0.9853454291695743
12,16,0.9172,0.9171842285644878,0.9721375999999999,0.9172,0.9172,0.9721376,0.9721375999999999,0.9183270862102979,0.9160413709186778
12,20,0.9793000000000001,0.9792998706241914,0.9961936,0.9793000000000001,0.9793000000000001,0.9961935999999999,0.9961936000000001,0.9792481203007519,0.979351620947631
12,23,0.9126,0.9125828662417834,0.97305372,0.9126,0.9126,0.9730537199999999,0.9730537200000001,0.9138067061143984,0.9113590263691683
12,32,0.9232,0.9231999508479686,0.97898792,0.9232,0.9232,0.97898792,0.9789879199999999,0.9232613908872902,0.923138510808647
12,43,0.9097999999999999,0.909783800779268,0.96689432,0.9097999999999999,0.9097999999999999,0.96689432,0.9668943200000001,0.9085749037097102,0.9109926978488257
12,56,0.8588,0.8587955718291326,0.9331728400000001,0.8588,0.8588,0.93317284,0.9331728400000001,0.8595863166268894,0.8580048270313757
16,20,0.9462,0.9461946194619462,0.9878461599999999,0.9462,0.9462,0.9878461599999999,0.98784616,0.9456565656565656,0.9467326732673267
16,23,0.9558,0.9557990647082093,0.9906760800000001,0.9558,0.9558,0.9906760800000001,0.9906760800000001,0.9560023890105515,0.955595740405867
16,32,0.9912,0.9911999207992872,0.9993409600000001,0.9912,0.9912,0.9993409600000001,0.99934096,0.9911735205616851,0.9912263210368893
16,43,0.937,0.9369967339106859,0.9844663600000001,0.937,0.937,0.9844663600000001,0.98446636,0.9365431103948428,0.937450357426529
16,56,0.9544999999999999,0.9544986235833635,0.99123956,0.9544999999999999,0.9544999999999999,0.99123956,0.99123956,0.954248366013072,0.9547488811536549
20,23,0.986,0.985999985999986,0.99789448,0.986,0.986,0.9978944799999999,0.99789448,0.985985985985986,0.986013986013986
20,32,0.996,0.995999968639754,0.9997697600000001,0.996,0.996,0.9997697600000001,0.9997697600000001,0.9959887685519454,0.9960111687275628
20,43,0.9374,0.9373980368024342,0.9843930399999999,0.9374,0.9374,0.9843930399999999,0.9843930399999999,0.9377486077963405,0.9370474658085277
20,56,0.9909,0.9908999518607453,0.9986168,0.9909,0.9909,0.9986168,0.9986168,0.9908790217500251,0.9909208819714657
23,32,0.8223,0.8222310096325283,0.9085456000000001,0.8223,0.8223,0.9085456,0.9085456000000001,0.8257330587427675,0.818728960522289
23,43,0.8964,0.896211649052234,0.96005664,0.8964,0.8964,0.96005664,0.96005664,0.9006330328026089,0.8917902653018592
23,56,0.9570000000000001,0.9569993790710338,0.9904262400000001,0.9570000000000001,0.9570000000000001,0.9904262400000001,0.99042624,0.9571627814305639,0.9568359767115037
32,43,0.8915,0.8904194824020304,0.9505954,0.8915,0.8915,0.9505954,0.9505954,0.9013008277995088,0.879538137004552
32,56,0.966,0.9659951032948744,0.9916910000000001,0.966,0.966,0.9916910000000001,0.991691,0.9664031620553359,0.9655870445344129
43,56,0.9419,0.9418992882662813,0.9851528,0.9419,0.9419,0.9851528,0.9851527999999999,0.9421026407573493,0.9416959357752133
