isolate_A,isolate_B,count_A,count_B,N,p_A,se_p_A,se_count_A,se_count_B,model_dir,Round,Temp,Day,Date,Well,Sample,Community,filename,filepath
06,12,42845,14107,56952,0.7523001826099172,0.0018088557587723044,103.01795317360028,103.01795317360028,06_vs_12,round1,20C,d02,11.03.2026,A2,Sample2,s01,round1_20C_d02_11.03.2026_A2_Sample2.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A2_Sample2.csv
20,56,15836,1711,17547,0.9024904542086967,0.002239460657278363,39.29581615326343,39.29581615326343,20_vs_56,round1,20C,d02,11.03.2026,F4,Sample64,s22,round1_20C_d02_11.03.2026_F4_Sample64.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F4_Sample64.csv
06,23,113030,177117,290147,0.38956115348426834,0.0009053153015203296,262.67451879021905,262.67451879021905,06_vs_23,round1,20C,d02,11.03.2026,A10,Sample10,s04,round1_20C_d02_11.03.2026_A10_Sample10.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A10_Sample10.csv
16,32,86619,27640,114259,0.7580934543449531,0.0012668931092263247,144.75393976709063,144.75393976709063,16_vs_32,round1,20C,d02,11.03.2026,D12,Sample48,s16,round1_20C_d02_11.03.2026_D12_Sample48.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D12_Sample48.csv
06,43,34020,9191,43211,0.7872995302122144,0.001968598102761346,85.06509261842052,85.06509261842052,06_vs_43,round1,20C,d02,11.03.2026,B5,Sample17,s06,round1_20C_d02_11.03.2026_B5_Sample17.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B5_Sample17.csv
43,56,71323,7408,78731,0.9059074570372534,0.001040510905749762,81.92046412058451,81.92046412058451,43_vs_56,round1,20C,d02,11.03.2026,G12,Sample84,s28,round1_20C_d02_11.03.2026_G12_Sample84.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G12_Sample84.csv
23,43,309253,91464,400717,0.7717491396671466,0.0006630181311225776,265.6826364490459,265.6826364490459,23_vs_43,round1,20C,d02,11.03.2026,F12,Sample72,s24,round1_20C_d02_11.03.2026_F12_Sample72.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F12_Sample72.csv
06,56,28024,33259,61283,0.4572883181306398,0.0020123783197584792,123.32458056975888,123.32458056975888,06_vs_56,round1,20C,d02,11.03.2026,B7,Sample19,s07,round1_20C_d02_11.03.2026_B7_Sample19.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B7_Sample19.csv
12,56,93514,5810,99324,0.9415045708992791,0.0007446378048844724,73.96040533234533,73.96040533234533,12_vs_56,round1,20C,d02,11.03.2026,D2,Sample38,s13,round1_20C_d02_11.03.2026_D2_Sample38.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D2_Sample38.csv
16,56,90478,2711,93189,0.9709085836311152,0.0005505405060260933,51.30431921606561,51.30431921606561,16_vs_56,round1,20C,d02,11.03.2026,E6,Sample54,s18,round1_20C_d02_11.03.2026_E6_Sample54.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E6_Sample54.csv
06,20,24631,8704,33335,0.7388930553472326,0.002405746009559778,80.1955432286752,80.1955432286752,06_vs_20,round1,20C,d02,11.03.2026,A6,Sample6,s03,round1_20C_d02_11.03.2026_A6_Sample6.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A6_Sample6.csv
16,32,106238,33497,139735,0.7602819622857552,0.0011420499545141474,159.5843503940344,159.5843503940344,16_vs_32,round1,20C,d02,11.03.2026,D11,Sample47,s16,round1_20C_d02_11.03.2026_D11_Sample47.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D11_Sample47.csv
16,23,68522,55491,124013,0.5525388467338102,0.0014119700033741055,175.10263602843295,175.10263602843295,16_vs_23,round1,20C,d02,11.03.2026,D8,Sample44,s15,round1_20C_d02_11.03.2026_D8_Sample44.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D8_Sample44.csv
23,56,92770,4396,97166,0.9547578371035136,0.0006667470966175808,64.78514838994386,64.78514838994386,23_vs_56,round1,20C,d02,11.03.2026,G3,Sample75,s25,round1_20C_d02_11.03.2026_G3_Sample75.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G3_Sample75.csv
20,23,28159,203096,231255,0.12176601586992714,0.0006800214340130303,157.25835672268332,157.25835672268332,20_vs_23,round1,20C,d02,11.03.2026,E8,Sample56,s19,round1_20C_d02_11.03.2026_E8_Sample56.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E8_Sample56.csv
06,12,23545,8092,31637,0.7442235357334767,0.002452925413108193,77.6032012945039,77.6032012945039,06_vs_12,round1,20C,d02,11.03.2026,A3,Sample3,s01,round1_20C_d02_11.03.2026_A3_Sample3.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A3_Sample3.csv
12,16,14508,98044,112552,0.12890041936171726,0.0009988136276364301,112.41847141773547,112.41847141773547,12_vs_16,round1,20C,d02,11.03.2026,B11,Sample23,s08,round1_20C_d02_11.03.2026_B11_Sample23.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B11_Sample23.csv
23,32,107648,74637,182285,0.590547768604109,0.0011517379343248633,209.9445493584077,209.9445493584077,23_vs_32,round1,20C,d02,11.03.2026,F9,Sample69,s23,round1_20C_d02_11.03.2026_F9_Sample69.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F9_Sample69.csv
16,20,132275,18107,150382,0.8795933023899137,0.0008392055575800719,126.20141016000638,126.20141016000638,16_vs_20,round1,20C,d02,11.03.2026,D4,Sample40,s14,round1_20C_d02_11.03.2026_D4_Sample40.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D4_Sample40.csv
23,43,318407,80783,399190,0.797632706230116,0.0006358897316758753,253.84082198769266,253.84082198769266,23_vs_43,round1,20C,d02,11.03.2026,F10,Sample70,s24,round1_20C_d02_11.03.2026_F10_Sample70.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F10_Sample70.csv
20,43,15522,26951,42473,0.36545570126904153,0.00233664036680367,99.24412629925227,99.24412629925227,20_vs_43,round1,20C,d02,11.03.2026,F3,Sample63,s21,round1_20C_d02_11.03.2026_F3_Sample63.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F3_Sample63.csv
12,43,32264,77905,110169,0.29285915275622,0.0013710479993948757,151.04698704533405,151.04698704533405,12_vs_43,round1,20C,d02,11.03.2026,C11,Sample35,s12,round1_20C_d02_11.03.2026_C11_Sample35.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C11_Sample35.csv
12,23,15297,95606,110903,0.13793134540995283,0.0010354538951021887,114.83494332851804,114.83494332851804,12_vs_23,round1,20C,d02,11.03.2026,C6,Sample30,s10,round1_20C_d02_11.03.2026_C6_Sample30.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C6_Sample30.csv
06,20,25711,11776,37487,0.6858644330034412,0.002397382624497733,89.87068244454652,89.87068244454652,06_vs_20,round1,20C,d02,11.03.2026,A8,Sample8,s03,round1_20C_d02_11.03.2026_A8_Sample8.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A8_Sample8.csv
20,32,36688,271652,308340,0.1189855354478822,0.0005830739917819444,179.78503462604473,179.78503462604473,20_vs_32,round1,20C,d02,11.03.2026,E10,Sample58,s20,round1_20C_d02_11.03.2026_E10_Sample58.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E10_Sample58.csv
23,56,112799,7231,120030,0.9397567274847954,0.0006867791412588991,82.43410032530566,82.43410032530566,23_vs_56,round1,20C,d02,11.03.2026,G2,Sample74,s25,round1_20C_d02_11.03.2026_G2_Sample74.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G2_Sample74.csv
06,43,34460,10151,44611,0.7724552240478806,0.0019849479028138384,88.55051089242815,88.55051089242815,06_vs_43,round1,20C,d02,11.03.2026,B6,Sample18,s06,round1_20C_d02_11.03.2026_B6_Sample18.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B6_Sample18.csv
16,20,117386,17276,134662,0.8717084255394989,0.0009113016554764479,122.71770352976942,122.71770352976942,16_vs_20,round1,20C,d02,11.03.2026,D6,Sample42,s14,round1_20C_d02_11.03.2026_D6_Sample42.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D6_Sample42.csv
12,20,118367,28818,147185,0.8042055916024051,0.0010343128267903024,152.23533341113065,152.23533341113065,12_vs_20,round1,20C,d02,11.03.2026,C2,Sample26,s09,round1_20C_d02_11.03.2026_C2_Sample26.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C2_Sample26.csv
23,56,123146,6512,129658,0.9497755634052661,0.0006065524670034952,78.64437976673918,78.64437976673918,23_vs_56,round1,20C,d02,11.03.2026,G1,Sample73,s25,round1_20C_d02_11.03.2026_G1_Sample73.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G1_Sample73.csv
06,56,19790,20574,40364,0.49028837578039836,0.0024882325589346776,100.43501900883932,100.43501900883932,06_vs_56,round1,20C,d02,11.03.2026,B9,Sample21,s07,round1_20C_d02_11.03.2026_B9_Sample21.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B9_Sample21.csv
